year	amnh_amcc_tissue	sample_code	used_for_species_delimitation	host_family	host_genus	host_species	host_genus_species	host_weight	host_sex	site	site_lat	site_long	leuco_lin_1	leuco_lin_2	tissue_or_blood	leuco_morphotype
2016	243938	PRS4416	yes	Fringillidae	Loxia	leucoptera	Loxia_leucoptera	23.8	M	Denali1	63.32385	-148.23181	ACAFLA03		blood	fringillinarum
2016	243940	PRS4417		Fringillidae	Loxia	leucoptera	Loxia_leucoptera	23	F	Denali1	63.32385	-148.23181	CB1		blood	
2016	243941	PRS4418	yes	Fringillidae	Loxia	leucoptera	Loxia_leucoptera	21.7	M	Denali1	63.32385	-148.23181	CB1		tissue	no_smear
2016	243942	PRS4419		Fringillidae	Loxia	leucoptera	Loxia_leucoptera	21.3	M	Denali1	63.32385	-148.23181	CB1	TUMIG12	blood	
2016	243945	PRS4420		Turdidae	Turdus	migratorius	Turdus_migratorius	67.5	M	Denali1	63.32385	-148.23181	TUMIG16	TUMIG17	blood	
2016	243946	PRS4421		Turdidae	Turdus	migratorius	Turdus_migratorius	66.8	M	Denali1	63.32385	-148.23181	TUMIG12	TUMIG13	blood	
2016	243947	PRS4422		Emberizidae	Zonotrichia	leucophrys	Zonotrichia_leucophrys	18.5	F	Denali1	63.32385	-148.23181	CB1	ZOLEU02	tissue	
2016	243949	PRS4423		Emberizidae	Passerella	iliaca	Passerella_iliaca	39.1	M	Denali1	63.32385	-148.23181	ZOLEU02		blood	
2016	243952	PRS4424	yes	Turdidae	Turdus	migratorius	Turdus_migratorius	76.6	M	Denali1	63.32385	-148.23181	TUMIG11		blood	majoris
2016	243753	PRS4425		Emberizidae	Zonotrichia	leucophrys	Zonotrichia_leucophrys	24.4	M	Denali1	63.32385	-148.23181	CB1	ZOLEU02	blood	
2016	243755	PRS4426		Turdidae	Catharus	minimus	Catharus_minimus	25.4	M	Denali1	63.32385	-148.23181	CATMIN05	CATUST09	blood	
2016	243758	PRS4428		Emberizidae	Passerella	iliaca	Passerella_iliaca	34	M	Denali1	63.32385	-148.23181	CB1		blood	
2016	243759	PRS4429		Emberizidae	Zonotrichia	leucophrys	Zonotrichia_leucophrys	24.5	M	Denali1	63.32385	-148.23181	ZOLEU02		blood	
2016	243761	PRS4430		Turdidae	Turdus	migratorius	Turdus_migratorius	71.7	M	Denali1	63.32385	-148.23181			blood	
2016	243763	PRS4431	yes	Corvidae	Perisoreus	canadensis	Perisoreus_canadensis	69.5	F	Denali1	63.32385	-148.23181	PERCAN01		blood	no_smear
2016	243764	PRS4432	yes	Corvidae	Pica	hudsonia	Pica_hudsonia	175.2	F	Denali1	63.32385	-148.23181	COBRA07		blood	no_smear
2016	243764	PRS4433		Emberizidae	Passerella	iliaca	Passerella_iliaca	32.9	F	Denali2	63.03881	-147.00372	CB1	ZOLEU02	blood	
2016	243768	PRS4434		Emberizidae	Zonotrichia	leucophrys	Zonotrichia_leucophrys	25.3	M	Denali2	63.03881	-147.00372	ZOLEU02	ZOLEU05	blood	
2016	243771	PRS4435		Emberizidae	Spizella	arborea	Spizella_arborea	17.8	M	Denali2	63.03881	-147.00372	CB1	ZOLEU02	blood	
2016	243772	PRS4436		Parulidae	Setophaga	striata	Setophaga_striata	11.5	M	Denali2	63.03881	-147.00372	CB1	CNEORN01	blood	
2016	243773	PRS4437		Emberizidae	Zonotrichia	leucophrys	Zonotrichia_leucophrys	24.9	M	Denali2	63.03881	-147.00372	CB1	ZOLEU02	blood	
2016	243775	PRS4438	yes	Emberizidae	Spizella	arborea	Spizella_arborea	15	F	Denali2	63.03881	-147.00372	ZOLEU02		blood	fringillinarum
2016	243776	PRS4439	yes	Phylloscopidae	Phylloscopus	borealis	Phylloscopus_borealis	12.8	F	Denali2	63.03881	-147.00372	BT1		blood	no_smear
2016	243778	PRS4440		Emberizidae	Passerella	iliaca	Passerella_iliaca	32	M	Denali2	63.03881	-147.00372	ZOLEU02		blood	
2016	243781	PRS4441	yes	Turdidae	Catharus	minimus	Catharus_minimus	29	M	Denali2	63.03881	-147.00372	CATGUT02		blood	majoris
